ticker_id,ticker,origin_date,target_start_date,target_end_date,actual_vol,rolling_vol_baseline,ewma_vol_baseline,data_source,split,regime,regime_name
0,AAPL,2020-03-26,2020-03-27,2020-04-09,0.24996384757893564,0.2257990168122286,0.20051003275073684,synthetic_fallback_fast,train,2,High
1,MSFT,2020-03-26,2020-03-27,2020-04-09,0.29292665708183757,0.2632436087911936,0.24785067965855925,synthetic_fallback_fast,train,2,High
0,AAPL,2020-03-27,2020-03-30,2020-04-10,0.24409253261809097,0.22677528025813265,0.19899311514782428,synthetic_fallback_fast,train,2,High
1,MSFT,2020-03-27,2020-03-30,2020-04-10,0.27677517337856594,0.2724548013558544,0.2523598034877002,synthetic_fallback_fast,train,2,High
0,AAPL,2020-03-30,2020-03-31,2020-04-13,0.26488505082760655,0.21370537453042748,0.1931798430079813,synthetic_fallback_fast,train,2,High
1,MSFT,2020-03-30,2020-03-31,2020-04-13,0.2888853185608512,0.2670262389962549,0.24479646981340747,synthetic_fallback_fast,train,2,High
0,AAPL,2020-03-31,2020-04-01,2020-04-14,0.21212490357705516,0.242803344047949,0.22650414581494216,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-03-31,2020-04-01,2020-04-14,0.27407066832552834,0.2754140405027343,0.24935766249025595,synthetic_fallback_fast,train,2,High
0,AAPL,2020-04-01,2020-04-02,2020-04-15,0.1721743058492581,0.25699785265370756,0.2400037000160443,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-01,2020-04-02,2020-04-15,0.21532885540434885,0.3019050356423027,0.2776822235455382,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-02,2020-04-03,2020-04-16,0.151493539252938,0.2577097969920567,0.24312802049930377,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-02,2020-04-03,2020-04-16,0.170969707228764,0.3164124708165058,0.2887172331856558,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-03,2020-04-06,2020-04-17,0.15178493132873,0.24292359906902303,0.2392602028243102,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-03,2020-04-06,2020-04-17,0.15822223326362173,0.2981184121163325,0.285547828685057,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-06,2020-04-07,2020-04-20,0.16076732096009763,0.2433279331010845,0.23564224076688145,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-06,2020-04-07,2020-04-20,0.14512545049981224,0.2850281848173942,0.28157557507330566,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-07,2020-04-08,2020-04-21,0.15783693951677683,0.2387987632591621,0.23010831366288467,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-07,2020-04-08,2020-04-21,0.1420481993461318,0.2865656642628129,0.2751927765358574,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-08,2020-04-09,2020-04-22,0.1624131222612984,0.21704241059721702,0.22310760896577161,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-08,2020-04-09,2020-04-22,0.1582376696568614,0.2810155997568724,0.26697354874987855,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-09,2020-04-10,2020-04-23,0.1604004129187053,0.219037697561424,0.219243763281959,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-09,2020-04-10,2020-04-23,0.14584628327385088,0.2862654786135929,0.2662322769873601,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-10,2020-04-13,2020-04-24,0.16461488960380197,0.21911950588055507,0.21285289348789319,synthetic_fallback_fast,train,1,Medium
1,MSFT,2020-04-10,2020-04-13,2020-04-24,0.1537654108750176,0.286784814504102,0.2590704577841071,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-13,2020-04-14,2020-04-27,0.129148763917892,0.22382740174834403,0.22145275321886937,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-13,2020-04-14,2020-04-27,0.13074647957196925,0.2877064122924415,0.25942434065890246,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-14,2020-04-15,2020-04-28,0.12562918921897842,0.20722374622456022,0.21696462328498542,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-14,2020-04-15,2020-04-28,0.1510664268912094,0.25240422604436036,0.2529103844135369,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-15,2020-04-16,2020-04-29,0.125458175015527,0.19994181844886996,0.21073673045933639,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-15,2020-04-16,2020-04-29,0.15080913599561718,0.2541451024462643,0.24780390246048672,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-16,2020-04-17,2020-04-30,0.1380961395169862,0.2016857453408078,0.20655947774311992,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-16,2020-04-17,2020-04-30,0.15293793070220912,0.2338607553823612,0.24140923082205296,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-17,2020-04-20,2020-05-01,0.1292611026196541,0.20481115969987382,0.2045040528585533,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-17,2020-04-20,2020-05-01,0.15475139067857224,0.23467232874851135,0.23542023232402184,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-20,2020-04-21,2020-05-04,0.11514534453087429,0.2076355442787195,0.20667661952327387,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-20,2020-04-21,2020-05-04,0.16949356035603372,0.23387305171150913,0.22876939934954524,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-21,2020-04-22,2020-05-05,0.11617358314114326,0.20791131347529226,0.20085095143209128,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-21,2020-04-22,2020-05-05,0.16850044509512985,0.22608241056794848,0.2232830976385237,synthetic_fallback_fast,train,1,Medium
0,AAPL,2020-04-22,2020-04-23,2020-05-06,0.11584028505504354,0.20840007477331074,0.1974825772464051,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-22,2020-04-23,2020-05-06,0.1534635413023023,0.22973345328974656,0.22341627007797552,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-23,2020-04-24,2020-05-07,0.11185142786004851,0.210012163410785,0.1938004563874871,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-23,2020-04-24,2020-05-07,0.14492258962481544,0.23138405819539168,0.22028538923266858,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-24,2020-04-27,2020-05-08,0.10500931900931086,0.20818168310298785,0.19029586293520237,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-24,2020-04-27,2020-05-08,0.1341644451047773,0.22388423144596206,0.217699831606991,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-27,2020-04-28,2020-05-11,0.10447177738625206,0.20837885374176418,0.18510309823403773,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-27,2020-04-28,2020-05-11,0.1348520295251549,0.22422016992285487,0.21170852577763338,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-28,2020-04-29,2020-05-12,0.10182406073848467,0.1743268021581777,0.18074503935333838,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-28,2020-04-29,2020-05-12,0.10593956256083961,0.22128691394892613,0.2154369458781782,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-29,2020-04-30,2020-05-13,0.1032378704349052,0.15063821771532693,0.17560070606964237,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-29,2020-04-30,2020-05-13,0.10269871581283271,0.18588963320945512,0.2118573885264467,synthetic_fallback_fast,train,0,Low
0,AAPL,2020-04-30,2020-05-01,2020-05-14,0.0831735104897375,0.14494970883874927,0.17858180627996775,synthetic_fallback_fast,train,0,Low
1,MSFT,2020-04-30,2020-05-01,2020-05-14,0.09725891451991499,0.16220457983263453,0.20766309528355834,synthetic_fallback_fast,train,0,Low
